CustomerID,Tenure Months_x,Contract_x,Monthly Charges_x,Total Charges,Internet Service,Payment Method,Charges Band,Churn Label_x,CLTV,Churn_Probability,Predicted_Churn,Risk_Tier
3668-QPYBK,2,Month-to-month,53.85,108.15,DSL,Mailed check,Medium ($35-65),Yes,3239,0.5195969390528442,1,Medium Risk
9237-HQITU,2,Month-to-month,70.7,151.65,Fiber optic,Electronic check,High ($65-95),Yes,2701,0.6658810649737207,1,Medium Risk
9305-CDSKC,8,Month-to-month,99.65,820.5,Fiber optic,Electronic check,Premium (>$95),Yes,5372,0.6458446699015954,1,Medium Risk
7892-POOKP,28,Month-to-month,104.8,3046.05,Fiber optic,Electronic check,Premium (>$95),Yes,5003,0.4523152756223025,0,Low Risk
0280-XJGEX,49,Month-to-month,103.7,5036.3,Fiber optic,Bank transfer (automatic),Premium (>$95),Yes,5340,0.45629228068230915,0,Low Risk
4190-MFLUW,10,Month-to-month,55.2,528.35,DSL,Credit card (automatic),Medium ($35-65),Yes,5925,0.27197836694544025,0,Low Risk
8779-QRDMV,1,Month-to-month,39.65,39.65,DSL,Electronic check,Medium ($35-65),Yes,5433,0.8346888248179263,1,High Risk
1066-JKSGK,1,Month-to-month,20.15,20.15,No,Mailed check,Low (<$35),Yes,4832,0.5903743558754457,1,Medium Risk
6467-CHFZW,47,Month-to-month,99.35,4749.15,Fiber optic,Electronic check,Premium (>$95),Yes,5789,0.3514178800378132,0,Low Risk
8665-UTDHZ,1,Month-to-month,30.2,30.2,DSL,Electronic check,Low (<$35),Yes,2915,0.6472957696879443,1,Medium Risk
8773-HHUOZ,17,Month-to-month,64.7,1093.1,DSL,Mailed check,Medium ($35-65),Yes,3022,0.5409463505030616,1,Medium Risk
6047-YHPVI,5,Month-to-month,69.7,316.9,Fiber optic,Electronic check,High ($65-95),Yes,2454,0.6030775421814075,1,Medium Risk
5380-WJKOV,34,Month-to-month,106.35,3549.25,Fiber optic,Electronic check,Premium (>$95),Yes,2941,0.2847020217228663,0,Low Risk
8168-UQWWF,11,Month-to-month,97.85,1105.4,Fiber optic,Bank transfer (automatic),Premium (>$95),Yes,5674,0.5535341992873276,1,Medium Risk
7760-OYPDY,2,Month-to-month,80.65,144.15,Fiber optic,Electronic check,High ($65-95),Yes,5586,0.6493763806608693,1,Medium Risk
9420-LOJKX,15,Month-to-month,99.1,1426.4,Fiber optic,Credit card (automatic),Premium (>$95),Yes,2966,0.3465880683012308,0,Low Risk
7495-OOKFY,8,Month-to-month,80.65,633.3,Fiber optic,Credit card (automatic),High ($65-95),Yes,5302,0.27074531806979285,0,Low Risk
1658-BYGOY,18,Month-to-month,95.45,1752.55,Fiber optic,Electronic check,Premium (>$95),Yes,3179,0.627426726260463,1,Medium Risk
